year,quarter,county,sales,month,date
2011,1,Mesa,121092000,01,2011-01-01
2011,1,Pueblo,78558000,01,2011-01-01
2011,1,Rest of State,165769000,01,2011-01-01
2011,1,Weld,190563000,01,2011-01-01
2011,2,Adams,410532000,04,2011-04-01
2011,2,Arapahoe,619123000,04,2011-04-01
2011,2,Boulder,163277000,04,2011-04-01
2011,2,Broomfield,36984000,04,2011-04-01
2011,2,Denver,308349000,04,2011-04-01
2011,2,Douglas,105964000,04,2011-04-01
2011,2,El Paso,427489000,04,2011-04-01
2011,2,Fremont,12926000,04,2011-04-01
2011,2,Garfield,43098000,04,2011-04-01
2011,2,Jefferson,299753000,04,2011-04-01
2011,2,La Plata,28807000,04,2011-04-01
2011,2,Larimer,186875000,04,2011-04-01
2011,2,Mesa,114870000,04,2011-04-01
2011,2,Pueblo,81983000,04,2011-04-01
2011,2,Rest of State,178796000,04,2011-04-01
2011,2,Weld,222828000,04,2011-04-01
2011,3,Adams,404342000,07,2011-07-01
2011,3,Arapahoe,686306000,07,2011-07-01
2011,3,Boulder,175379000,07,2011-07-01
2011,3,Broomfield,39120000,07,2011-07-01
2011,3,Denver,320173000,07,2011-07-01
2011,3,Douglas,119088000,07,2011-07-01
2011,3,El Paso,459352000,07,2011-07-01
2011,3,Fremont,13356000,07,2011-07-01
2011,3,Garfield,51218000,07,2011-07-01
2011,3,Jefferson,334221000,07,2011-07-01
2011,3,La Plata,31513000,07,2011-07-01
2011,3,Larimer,204500000,07,2011-07-01
2011,3,Mesa,122092000,07,2011-07-01
2011,3,Pueblo,91161000,07,2011-07-01
2011,3,Rest of State,195498000,07,2011-07-01
2011,3,Weld,223527000,07,2011-07-01
2011,4,Adams,230135000,10,2011-10-01
2011,4,Arapahoe,581209000,10,2011-10-01
2011,4,Boulder,152905000,10,2011-10-01
2011,4,Broomfield,34271000,10,2011-10-01
2011,4,Denver,185077000,10,2011-10-01
2011,4,Douglas,92434000,10,2011-10-01
2011,4,El Paso,351527000,10,2011-10-01
2011,4,Fremont,9465000,10,2011-10-01
2011,4,Garfield,43466000,10,2011-10-01
2011,4,Jefferson,251095000,10,2011-10-01
2011,4,La Plata,19465000,10,2011-10-01
2011,4,Larimer,147948000,10,2011-10-01
2011,4,Mesa,70539000,10,2011-10-01
2011,4,Pueblo,61482000,10,2011-10-01
2011,4,Rest of State,130773000,10,2011-10-01
2011,4,Weld,139002000,10,2011-10-01
2012,1,Adams,286682000,01,2012-01-01
2012,1,Arapahoe,574485000,01,2012-01-01
2012,1,Boulder,152557000,01,2012-01-01
2012,1,Broomfield,30505000,01,2012-01-01
2012,1,Denver,191300000,01,2012-01-01
2012,1,Douglas,84305000,01,2012-01-01
2012,1,El Paso,355405000,01,2012-01-01
2012,1,Fremont,9678000,01,2012-01-01
2012,1,Garfield,37086000,01,2012-01-01
2012,1,Jefferson,245028000,01,2012-01-01
2012,1,La Plata,21305000,01,2012-01-01
2012,1,Larimer,152529000,01,2012-01-01
2012,1,Mesa,71829000,01,2012-01-01
2012,1,Pueblo,67995000,01,2012-01-01
2012,1,Rest of State,125758000,01,2012-01-01
2012,1,Weld,140661000,01,2012-01-01
2012,2,Adams,310793000,04,2012-04-01
2012,2,Arapahoe,621944000,04,2012-04-01
2012,2,Boulder,160128000,04,2012-04-01
2012,2,Broomfield,37776000,04,2012-04-01
2012,2,Denver,210181000,04,2012-04-01
2012,2,Douglas,89074000,04,2012-04-01
2012,2,El Paso,376307000,04,2012-04-01
